○ 범죄의 발생 검거상황(총괄) [],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
재산범죄,여자검거인원[명],명,82249,89152,90853,88460,95048,103148,99942,77877,84133,90964,102573
재산범죄,미상검거인원[명],명,7172,6144,5446,5715,6226,6750,7113,3387,3855,4681,5970
재산범죄,법인[개],개,756,747,1030,1126,1053,1105,902,425,409,492,1037
절도,발생건수[건],건,266784,246424,203573,184355,177458,187629,180067,166782,182720,189942,184155
절도,발생비[건/10만명],건/10만명,520,478.2,393.8,356,342.4,361.9,347.4,323,355.2,370.1,359.6
절도,검거건수[건],건,119831,127798,119010,114263,107208,114203,111656,104316,114095,127309,129737
절도,발생건수대비 검거건수[%],%,44.9,51.9,58.5,62,60.4,60.9,62,62.5,62.4,67,70.4
절도,검거인원[명],명,96901,104246,107308,106656,98305,102464,99432,86336,95119,101479,102035
절도,남자검거인원[명],명,76123,82031,82288,80917,73632,75383,73065,61452,66670,70235,69430
절도,여자검거인원[명],명,19949,21579,24543,25269,24190,26432,25844,24577,28084,30773,32155
절도,미상검거인원[명],명,829,636,477,470,483,649,523,307,365,471,450
절도,법인[개],개,13,8,11,12,10,10,11,5,6,6,22
절도,발생건수[건],건,260100,238261,195693,176994,170757,180501,173650,160710,177108,184916,179247
절도,발생비[건/10만명],건/10만명,507,462.4,378.5,341.8,329.5,348.1,335,311.2,344.3,360.3,350
절도,검거건수[건],건,115018,121096,112366,107802,101365,108011,106049,99080,109166,122849,125355
절도,발생건수대비 검거건수[%],%,44.2,50.8,57.4,60.9,59.4,59.8,61.1,61.7,61.6,66.4,69.9
절도,검거인원[명],명,94063,100984,103499,102668,94608,98668,95492,83133,91938,98217,99112
절도,남자검거인원[명],명,73461,78950,78680,77177,70198,71852,69416,58498,63749,67239,66753
절도,여자검거인원[명],명,19775,21400,24349,25024,23938,26173,25558,24331,27831,30511,31918
절도,미상검거인원[명],명,827,634,470,467,472,643,518,304,358,467,441
절도,법인[개],개,13,8,11,12,10,10,11,5,6,6,21
불법사용,발생건수[건],건,362,382,522,548,586,661,832,804,875,947,898
불법사용,발생비[건/10만명],건/10만명,1,0.7,1,1.1,1.1,1.3,1.6,1.6,1.7,1.8,1.8
불법사용,검거건수[건],건,260,299,423,450,456,510,645,612,693,773,740
불법사용,발생건수대비 검거건수[%],%,71.8,78.3,81,82.1,77.8,77.2,77.5,76.1,79.2,81.6,82.4
불법사용,검거인원[명],명,363,388,674,674,669,792,1134,879,1006,1120,1029
불법사용,남자검거인원[명],명,347,363,644,645,629,726,1066,811,940,1032,964
불법사용,여자검거인원[명],명,16,25,27,29,37,63,68,68,64,85,59
불법사용,미상검거인원[명],명,-,-,3,,3,3,-,-,2,3,6
불법사용,법인[개],개,-,-,-,,-,-,-,-,-,-,1
침입절도,발생건수[건],건,6322,7781,7358,6813,6115,6467,5585,5268,4737,4079,4010
침입절도,발생비[건/10만명],건/10만명,12,15.1,14.2,13.2,11.8,12.5,10.8,10.2,9.2,7.9,7.8
침입절도,검거건수[건],건,4553,6403,6221,6011,5387,5682,4962,4624,4236,3687,3642
침입절도,발생건수대비 검거건수[%],%,72,82.3,84.5,88.2,88.1,87.9,88.8,87.8,89.4,90.4,90.8
침입절도,검거인원[명],명,2475,2874,3135,3314,3028,3004,2806,2324,2175,2142,1894
침입절도,남자검거인원[명],명,2315,2718,2964,3095,2805,2805,2583,2143,1981,1964,1713
침입절도,여자검거인원[명],명,158,154,167,216,215,196,218,178,189,177,178
침입절도,미상검거인원[명],명,2,2,4,3,8,3,5,3,5,1,3
침입절도,법인[개],개,-,-,-,,-,-,-,-,-,-,-
장물,발생건수[건],건,3668,4263,2086,1934,965,925,616,302,256,316,405
장물,발생비[건/10만명],건/10만명,7,8.3,4,3.7,1.9,1.8,1.2,0.6,0.5,0.6,0.8
장물,검거건수[건],건,3575,4160,2117,1910,928,890,587,274,250,308,390
장물,발생건수대비 검거건수[%],%,97.5,97.6,101.5,98.8,96.2,96.2,95.3,90.7,97.7,97.5,96.3
장물,검거인원[명],명,5071,4730,3815,3131,1811,1469,1108,618,585,706,697
장물,남자검거인원[명],명,4447,4132,3259,2639,1516,1225,902,523,471,583,587
장물,여자검거인원[명],명,609,586,542,481,287,234,188,94,113,119,106
장물,미상검거인원[명],명,15,12,14,11,8,10,18,1,1,4,4
장물,법인[개],개,7,1,1,1,2,6,1,-,-,-,-
사기,발생건수[건],건,244008,257620,250600,241642,278566,313593,354154,297981,329358,354055,443410
사기,발생비[건/10만명],건/10만명,475,499.9,484.8,466.7,537.5,604.8,683.3,577,640.3,689.8,865.7
사기,검거건수[건],건,167253,199492,203236,190260,207927,230612,241133,183098,194450,200673,264525
사기,발생건수대비 검거건수[%],%,68.5,77.4,81.1,78.7,74.6,73.5,68.1,61.4,59,56.7,59.7
사기,검거인원[명],명,232827,241830,236001,223122,242658,260828,258094,170159,176623,194162,228516
사기,남자검거인원[명],명,179200,184535,181007,170981,183368,196330,195901,129381,133649,147505,171167
사기,여자검거인원[명],명,49147,53354,51405,48496,55168,60096,57075,38537,40594,43675,53119
사기,미상검거인원[명],명,4480,3941,3589,3645,4122,4402,5118,2241,2380,2982,4230
사기,법인[개],개,529,559,815,873,791,846,698,311,309,401,679
사기,발생건수[건],건,228216,241675,242530,233203,271139,305095,340925,275916,302607,325624,399672
사기,발생비[건/10만명],건/10만명,445,469,469.1,450.4,523.2,588.4,657.8,534.3,588.3,634.4,780.3
사기,검거건수[건],건,162058,191524,199194,185556,202172,224228,234065,175671,186634,192198,246345
사기,발생건수대비 검거건수[%],%,71,79.2,82.1,79.6,74.6,73.5,68.7,63.7,61.7,59,61.6
사기,검거인원[명],명,226626,232701,231266,216280,232024,246950,240531,154532,162635,177610,200410
사기,남자검거인원[명],명,174570,178460,177546,165912,176239,186569,183046,118238,123344,136614,152626
사기,여자검거인원[명],명,47661,50432,50197,46783,51716,56116,52520,34166,37070,38230,43805
사기,미상검거인원[명],명,4395,3809,3523,3585,4069,4265,4965,2128,2221,2766,3979
사기,법인[개],개,521,553,809,842,777,824,670,294,296,381,663
컴퓨터등사용사기,발생건수[건],건,15197,11261,5072,4085,2468,3002,7451,16728,21722,23110,19476
컴퓨터등사용사기,발생비[건/10만명],건/10만명,30,21.9,9.8,7.9,4.8,5.8,14.4,32.4,42.2,45,38
컴퓨터등사용사기,검거건수[건],건,4903,5367,2396,1703,1560,1693,2050,2982,3937,4069,3881
컴퓨터등사용사기,발생건수대비 검거건수[%],%,32.3,47.7,47.2,41.7,63.2,56.4,27.5,17.8,18.1,17.6,19.9
컴퓨터등사용사기,검거인원[명],명,5865,6127,2838,2089,1600,2156,2595,2920,4657,4475,3812
컴퓨터등사용사기,남자검거인원[명],명,4402,4138,2125,1651,1268,1688,1958,2192,3487,3375,2805
컴퓨터등사용사기,여자검거인원[명],명,1380,1895,670,412,309,365,508,640,1042,940,880
컴퓨터등사용사기,미상검거인원[명],명,83,94,43,26,23,103,129,88,128,160,127
컴퓨터등사용사기,법인[개],개,5,3,3,6,3,7,3,4,-,2,-
부당이득,발생건수[건],건,47,66,52,59,71,76,83,38,49,36,29
부당이득,발생비[건/10만명],건/10만명,-,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1
부당이득,검거건수[건],건,33,51,44,34,53,51,67,28,32,36,27
부당이득,발생건수대비 검거건수[%],%,70.2,77.3,84.6,57.6,74.6,67.1,80.7,73.7,65.3,100,93.1
부당이득,검거인원[명],명,80,94,66,74,83,85,108,50,48,56,41
부당이득,남자검거인원[명],명,67,65,50,50,52,58,88,30,32,32,28
부당이득,여자검거인원[명],명,12,17,14,19,22,20,20,12,14,24,13
부당이득,미상검거인원[명],명,1,12,2,5,9,7,-,8,2,-,-
부당이득,법인[개],개,3,2,-,1,2,-,1,-,-,-,-
편의시설부정이용,발생건수[건],건,16,94,227,713,821,1225,1638,1255,1480,1647,2783
편의시설부정이용,발생비[건/10만명],건/10만명,-,0.2,0.4,1.4,1.6,2.4,3.2,2.4,2.9,3.2,5.4
편의시설부정이용,검거건수[건],건,14,51,156,530,655,969,1287,857,997,1231,2160
편의시설부정이용,발생건수대비 검거건수[%],%,87.5,54.3,68.7,74.3,79.8,79.1,78.6,68.3,67.4,74.7,77.6
편의시설부정이용,검거인원[명],명,20,63,203,667,807,1180,1519,1017,1200,1360,2237
편의시설부정이용,남자검거인원[명],명,17,50,156,537,675,975,1281,841,981,1102,1765
편의시설부정이용,여자검거인원[명],명,3,12,46,116,124,186,228,166,205,225,415
편의시설부정이용,미상검거인원[명],명,-,1,1,14,8,19,10,10,14,33,57
편의시설부정이용,법인[개],개,-,1,3,22,8,12,14,9,11,15,13
전기통신금융사기피해금환급에관한특별법,발생건수[건],건,532,4524,2687,2348,1479,990,534,373,499,605,17279
전기통신금융사기피해금환급에관한특별법,발생비[건/10만명],건/10만명,1,8.8,5.2,4.5,2.9,1.9,1,0.7,1,1.2,33.7
전기통신금융사기피해금환급에관한특별법,검거건수[건],건,245,2499,1416,1239,961,558,286,158,154,252,8102
전기통신금융사기피해금환급에관한특별법,발생건수대비 검거건수[%],%,46.1,55.2,52.7,52.8,65,56.4,53.6,42.4,30.9,41.7,46.9
전기통신금융사기피해금환급에관한특별법,검거인원[명],명,236,2845,1584,1385,997,723,368,289,253,300,8937
전기통신금융사기피해금환급에관한특별법,남자검거인원[명],명,144,1822,1095,992,675,516,271,236,194,207,6135
전기통신금융사기피해금환급에관한특별법,여자검거인원[명],명,91,998,469,380,310,202,94,51,54,90,2749
전기통신금융사기피해금환급에관한특별법,미상검거인원[명],명,1,25,20,13,12,5,3,2,5,3,53
전기통신금융사기피해금환급에관한특별법,법인[개],개,-,-,-,2,-,-,-,1,-,-,-
보험사기방지특별법,발생건수[건],건,,,32,1234,2588,3205,3523,3671,3001,3033,4171
보험사기방지특별법,발생비[건/10만명],건/10만명,,,0.1,2.4,5,6.2,6.8,7.1,5.8,5.9,8.1
보험사기방지특별법,검거건수[건],건,,,30,1198,2526,3113,3378,3402,2696,2887,4010
보험사기방지특별법,발생건수대비 검거건수[%],%,,,93.8,97.1,97.6,97.1,95.9,92.7,89.8,95.2,96.1
보험사기방지특별법,검거인원[명],명,,,44,2627,7147,9734,12973,11351,7830,10361,13079
보험사기방지특별법,남자검거인원[명],명,,,35,1839,4459,6524,9257,7844,5611,6175,7808
보험사기방지특별법,여자검거인원[명],명,,,9,786,2687,3207,3705,3502,2209,4166,5257
보험사기방지특별법,미상검거인원[명],명,,,-,2,1,3,11,5,10,20,14
보험사기방지특별법,법인[개],개,,,-,,1,3,10,3,2,3,3
횡령,발생건수[건],건,38646,48795,52069,52610,57172,60819,60539,51588,61354,66318,66005
횡령,발생비[건/10만명],건/10만명,75,94.7,100.7,101.6,110.3,117.3,116.8,99.9,119.3,129.2,128.9
횡령,검거건수[건],건,23495,27969,27923,27072,28510,28636,29020,23921,26407,31778,35494
횡령,발생건수대비 검거건수[%],%,60.8,57.3,53.6,51.5,49.9,47.1,47.9,46.4,43,47.9,53.8
횡령,검거인원[명],명,34337,38393,37984,36315,37797,38055,38151,29441,31724,35325,38411
횡령,남자검거인원[명],명,26652,29984,29417,27748,28457,28502,28340,21387,23098,25508,27612
횡령,여자검거인원[명],명,6874,7770,7883,7862,8615,8800,9161,7677,8225,9371,10186
횡령,미상검거인원[명],명,811,639,684,705,725,753,650,377,401,446,613
횡령,법인[개],개,102,91,107,109,111,127,110,55,48,37,155
배임,발생건수[건],건,5819,5843,5757,5237,5788,5996,5178,4282,4344,4594,4827
배임,발생비[건/10만명],건/10만명,11,11.3,11.1,10.1,11.2,11.6,10,8.3,8.4,9,9.4
배임,검거건수[건],건,4719,5111,5025,4317,4896,5005,4224,3492,3279,3992,4329
배임,발생건수대비 검거건수[%],%,81.1,87.5,87.3,82.4,84.6,83.5,81.6,81.6,75.5,86.9,89.7
배임,검거인원[명],명,11740,10445,9391,10069,10158,10274,9887,6991,6906,7305,7802
배임,남자검거인원[명],명,9100,8177,7396,7978,7932,7869,7596,5483,5308,5507,6024
배임,여자검거인원[명],명,1800,1583,1591,1555,1719,1792,1808,1230,1163,1290,1455
배임,미상검거인원[명],명,840,685,404,536,507,613,483,278,435,508,323
배임,법인[개],개,87,73,71,116,120,103,60,45,35,31,172
배임,발생건수[건],건,4995,4984,4933,4440,5092,5433,4768,3727,4058,4186,4415
배임,발생비[건/10만명],건/10만명,10,9.7,9.5,8.6,9.8,10.5,9.2,7.2,7.9,8.2,8.6
배임,검거건수[건],건,4017,4307,4259,3609,4309,4508,3898,3002,3072,3613,3963
배임,발생건수대비 검거건수[%],%,80.4,86.4,86.3,81.3,84.6,83,81.8,80.5,75.7,86.3,89.8
배임,검거인원[명],명,9403,8998,7974,8192,8747,9228,9072,6501,6492,6720,7149
배임,남자검거인원[명],명,7019,6837,6083,6287,6709,6947,6927,5045,4937,4988,5451
배임,여자검거인원[명],명,1590,1498,1507,1429,1552,1685,1696,1187,1135,1235,1387
배임,미상검거인원[명],명,794,663,384,476,486,596,449,269,420,497,311
배임,법인[개],개,79,65,65,110,108,96,57,44,34,31,169
배임수재,발생건수[건],건,575,606,602,574,519,389,295,385,222,287,277
배임수재,발생비[건/10만명],건/10만명,1,1.2,1.2,1.1,1,0.8,0.6,0.7,0.4,0.6,0.5
배임수재,검거건수[건],건,487,565,562,513,430,347,238,334,161,263,245
배임수재,발생건수대비 검거건수[%],%,84.7,93.2,93.4,89.4,82.9,89.2,80.7,86.8,72.5,91.6,88.4
배임수재,검거인원[명],명,1607,964,1004,1252,1050,752,560,349,307,399,411
배임수재,남자검거인원[명],명,1423,896,929,1131,892,654,462,312,276,351,364
배임수재,여자검거인원[명],명,141,50,60,86,138,86,72,29,16,39,36
배임수재,미상검거인원[명],명,43,18,15,35,20,12,26,8,15,9,11
배임수재,법인[개],개,2,7,3,4,8,5,2,-,1,-,2
배임증재,발생건수[건],건,249,253,222,223,177,174,115,170,64,121,135
배임증재,발생비[건/10만명],건/10만명,-,0.5,0.4,0.4,0.3,0.3,0.2,0.3,0.1,0.2,0.3
배임증재,검거건수[건],건,215,239,204,195,157,150,88,156,46,116,121
배임증재,발생건수대비 검거건수[%],%,86.3,94.5,91.9,87.4,88.7,86.2,76.5,91.8,71.9,95.9,89.6
배임증재,검거인원[명],명,730,483,413,625,361,294,255,141,107,186,242
배임증재,남자검거인원[명],명,658,444,384,560,331,268,207,126,95,168,209
배임증재,여자검거인원[명],명,69,35,24,40,29,21,40,14,12,16,32
배임증재,미상검거인원[명],명,3,4,5,25,1,5,8,1,-,2,1
배임증재,법인[개],개,6,1,3,2,4,2,1,1,-,-,1
손괴,발생건수[건],건,58194,59181,59360,56558,56988,58468,58504,54397,56832,54078,47992
손괴,발생비[건/10만명],건/10만명,113,114.8,114.8,109.2,110,112.8,112.9,105.3,110.5,105.4,93.7
손괴,검거건수[건],건,27662,29614,32626,32299,32968,35447,35647,33484,34762,34532,32469
손괴,발생건수대비 검거건수[%],%,47.5,50,55,57.1,57.9,60.6,60.9,61.6,61.2,63.9,67.7
손괴,검거인원[명],명,30207,32097,35397,35485,36327,39085,39294,36263,37385,36215,34182
손괴,남자검거인원[명],명,26140,27586,30230,30340,30877,32968,33107,30318,31158,30209,28280
손괴,여자검거인원[명],명,3870,4280,4889,4797,5069,5794,5866,5762,5954,5736,5552
손괴,미상검거인원[명],명,197,231,278,348,381,323,321,183,273,270,350
손괴,법인[개],개,18,15,25,15,19,13,22,9,11,17,9
손괴,발생건수[건],건,58190,59177,59358,56556,56984,58463,58499,54389,56830,54070,47991
손괴,발생비[건/10만명],건/10만명,113,114.8,114.8,109.2,110,112.8,112.9,105.3,110.5,105.3,93.7
손괴,검거건수[건],건,27658,29610,32623,32297,32965,35442,35642,33476,34760,34524,32468
손괴,발생건수대비 검거건수[%],%,47.5,50,55,57.1,57.8,60.6,60.9,61.5,61.2,63.9,67.7
손괴,검거인원[명],명,30200,32093,35394,35483,36323,39079,39268,36253,37382,36205,34181
손괴,남자검거인원[명],명,26133,27583,30229,30338,30877,32962,33081,30308,31155,30200,28279
손괴,여자검거인원[명],명,3870,4279,4887,4797,5065,5794,5866,5762,5954,5735,5552
손괴,미상검거인원[명],명,197,231,278,348,381,323,321,183,273,270,350
손괴,법인[개],개,18,15,25,15,19,13,22,9,11,17,9
손괴치상,발생건수[건],건,4,4,2,2,4,5,5,8,2,8,1
손괴치상,발생비[건/10만명],건/10만명,-,0,0,0,0,0,0,0,0,0,0
손괴치상,검거건수[건],건,4,4,3,2,3,5,5,8,2,8,1
손괴치상,발생건수대비 검거건수[%],%,100,100,150,100,75,100,100,100,100,100,100
손괴치상,검거인원[명],명,7,4,3,2,4,6,26,10,3,10,1
손괴치상,남자검거인원[명],명,7,3,1,2,-,6,26,10,3,9,1
손괴치상,여자검거인원[명],명,-,1,2,,4,-,-,-,-,1,-
손괴치상,미상검거인원[명],명,-,-,-,,-,-,-,-,-,-,-
손괴치상,법인[개],개,-,-,-,,-,-,-,-,-,-,-
손괴치사,발생건수[건],건,-,-,-,,-,-,-,-,-,-,-
손괴치사,발생비[건/10만명],건/10만명,-,-,-,,-,-,-,-,-,-,-
손괴치사,검거건수[건],건,-,-,-,,-,-,-,-,-,-,-
손괴치사,발생건수대비 검거건수[%],%,-,-,-,,-,-,-,-,-,-,-
손괴치사,검거인원[명],명,-,-,-,,-,-,-,-,-,-,-
손괴치사,남자검거인원[명],명,-,-,-,,-,-,-,-,-,-,-
손괴치사,여자검거인원[명],명,-,-,-,,-,-,-,-,-,-,-
손괴치사,미상검거인원[명],명,-,-,-,,-,-,-,-,-,-,-
손괴치사,법인[개],개,-,-,-,,-,-,-,-,-,-,-
강력범죄(흉악),발생건수[건],건,34126,35139,32963,36030,35272,35066,32812,35126,43927,41287,38471
강력범죄(흉악),발생비[건/10만명],건/10만명,66,68.2,63.8,69.6,68.1,67.6,63.3,68,85.4,80.4,75.1
강력범죄(흉악),검거건수[건],건,32309,33846,31668,34651,33694,33437,31190,31843,38813,38301,34955
강력범죄(흉악),발생건수대비 검거건수[%],%,94.7,96.3,96.1,96.2,95.5,95.4,95.1,90.7,88.4,92.8,90.9
강력범죄(흉악),검거인원[명],명,29861,31775,33529,36583,36641,37390,35461,34103,41735,40268,36511
강력범죄(흉악),남자검거인원[명],명,28747,30552,32188,35071,34659,35315,33277,32232,39363,37623,34131
강력범죄(흉악),여자검거인원[명],명,968,1087,1156,1333,1486,1688,1751,1705,1946,2118,2097
강력범죄(흉악),미상검거인원[명],명,146,136,185,179,496,387,433,166,426,527,283
강력범죄(흉악),법인[개],개,4,1,5,4,-,12,5,3,1,2,56
살인,발생건수[건],건,938,958,948,858,849,847,805,692,738,801,806
살인,발생비[건/10만명],건/10만명,2,1.9,1.8,1.7,1.6,1.6,1.6,1.3,1.4,1.6,1.6
살인,검거건수[건],건,915,928,936,847,808,823,747,661,703,772,781
살인,발생건수대비 검거건수[%],%,97.5,96.9,98.7,98.7,95.2,97.2,92.8,95.5,95.3,96.4,96.9
살인,검거인원[명],명,1063,1050,1043,986,1095,1050,1034,772,757,835,843
살인,남자검거인원[명],명,866,833,866,788,731,759,653,581,605,642,650
살인,여자검거인원[명],명,170,169,146,141,159,155,169,147,137,151,174
살인,미상검거인원[명],명,27,48,31,57,205,136,212,44,15,42,19
살인,법인[개],개,-,-,3,,-,10,1,1,-,-,6
살인(기수),발생건수[건],건,366,359,344,287,326,323,339,284,293,292,285
살인(기수),발생비[건/10만명],건/10만명,1,0.7,0.7,0.6,0.6,0.6,0.7,0.5,0.6,0.6,0.6
살인(기수),검거건수[건],건,358,347,333,286,307,315,309,269,276,284,273
살인(기수),발생건수대비 검거건수[%],%,97.8,96.7,96.8,99.7,94.2,97.5,91.2,94.7,94.2,97.3,95.8
살인(기수),검거인원[명],명,450,413,372,335,426,466,378,332,314,305,301
살인(기수),남자검거인원[명],명,335,299,278,263,286,289,259,231,223,210,224
살인(기수),여자검거인원[명],명,99,80,73,63,70,84,84,76,80,83,64
살인(기수),미상검거인원[명],명,16,34,21,9,70,93,35,25,11,12,13
살인(기수),법인[개],개,-,-,3,,-,-,-,1,-,-,3
"살인(미수, 예비, 음모, 방조)",발생건수[건],건,572,599,604,571,523,524,466,408,445,509,521
"살인(미수, 예비, 음모, 방조)",발생비[건/10만명],건/10만명,1,1.2,1.2,1.1,1,1,0.9,0.8,0.9,1,1
"살인(미수, 예비, 음모, 방조)",검거건수[건],건,557,581,603,561,501,508,438,392,427,488,508
"살인(미수, 예비, 음모, 방조)",발생건수대비 검거건수[%],%,97.4,97,99.8,98.2,95.8,96.9,94,96.1,96,95.9,97.5
"살인(미수, 예비, 음모, 방조)",검거인원[명],명,613,637,671,651,669,584,656,440,443,530,542
"살인(미수, 예비, 음모, 방조)",남자검거인원[명],명,531,534,588,525,445,470,394,350,382,432,426
"살인(미수, 예비, 음모, 방조)",여자검거인원[명],명,71,89,73,78,89,71,85,71,57,68,110
"살인(미수, 예비, 음모, 방조)",미상검거인원[명],명,11,14,10,48,135,43,177,19,4,30,6
"살인(미수, 예비, 음모, 방조)",법인[개],개,-,-,-,,-,10,1,-,-,-,3
강도,발생건수[건],건,1618,1472,1181,990,841,845,692,511,532,599,474
강도,발생비[건/10만명],건/10만명,3,2.9,2.3,1.9,1.6,1.6,1.3,1,1,1.2,0.9
강도,검거건수[건],건,1573,1482,1195,993,830,843,673,498,519,590,467
강도,발생건수대비 검거건수[%],%,97.2,100.7,101.2,100.3,98.7,99.8,97.3,97.5,97.6,98.5,98.5
강도,검거인원[명],명,2124,2046,1846,1497,1320,1495,1314,764,837,958,758
강도,남자검거인원[명],명,1911,1806,1566,1333,1054,1221,1048,658,684,779,649
강도,여자검거인원[명],명,186,215,172,145,132,168,178,100,92,111,101
강도,미상검거인원[명],명,27,25,108,19,134,106,88,6,61,68,8
강도,법인[개],개,-,-,-,,-,-,3,-,-,1,28
강도,발생건수[건],건,1035,923,733,623,537,566,447,330,341,406,333
강도,발생비[건/10만명],건/10만명,2,1.8,1.4,1.2,1,1.1,0.9,0.6,0.7,0.8,0.7
강도,검거건수[건],건,990,918,741,627,528,563,436,320,334,400,325
강도,발생건수대비 검거건수[%],%,95.7,99.5,101.1,100.6,98.3,99.5,97.5,97,97.9,98.5,97.6
강도,검거인원[명],명,1249,1160,1182,848,756,858,767,447,463,588,521
강도,남자검거인원[명],명,1101,1023,949,761,628,706,609,374,417,514,444
강도,여자검거인원[명],명,124,124,128,81,86,87,105,67,44,71,69
강도,미상검거인원[명],명,24,13,105,6,42,65,53,6,2,3,8
강도,법인[개],개,-,-,-,,-,-,3,-,-,1,2
강도상해,발생건수[건],건,487,472,382,303,240,228,209,144,162,159,111
강도상해,발생비[건/10만명],건/10만명,1,0.9,0.7,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.2
강도상해,검거건수[건],건,487,480,383,302,236,228,205,141,158,155,113
강도상해,발생건수대비 검거건수[%],%,100,101.7,100.3,99.7,98.3,100,98.1,97.9,97.5,97.5,101.8
강도상해,검거인원[명],명,748,779,595,571,487,563,492,270,325,328,197
강도상해,남자검거인원[명],명,694,679,553,501,355,447,393,239,224,227,171
강도상해,여자검거인원[명],명,52,88,39,59,40,76,65,31,43,36,26
강도상해,미상검거인원[명],명,2,12,3,11,92,40,34,-,58,65,-
강도상해,법인[개],개,-,-,-,,-,-,-,-,-,-,26
강도치상,발생건수[건],건,22,26,27,19,20,19,10,11,9,14,8
강도치상,발생비[건/10만명],건/10만명,-,0.1,0.1,0,0,0,0,0,0,0,0
강도치상,검거건수[건],건,21,30,28,17,21,19,10,11,9,14,7
강도치상,발생건수대비 검거건수[%],%,95.5,115.4,103.7,89.5,105,100,100,100,100,100,87.5
강도치상,검거인원[명],명,36,39,25,26,29,36,27,15,20,11,10
강도치상,남자검거인원[명],명,35,39,21,25,26,32,20,14,16,10,8
강도치상,여자검거인원[명],명,-,-,4,1,3,4,7,1,4,1,2
강도치상,미상검거인원[명],명,1,-,-,,-,-,-,-,-,-,-
강도치상,법인[개],개,-,-,-,,-,-,-,-,-,-,-
강도강간/강제추행,발생건수[건],건,43,21,16,19,24,10,6,8,5,5,3
강도강간/강제추행,발생비[건/10만명],건/10만명,-,0,0,0,0,0,0,0,0,0,0
강도강간/강제추행,검거건수[건],건,44,23,20,21,26,11,5,9,4,5,3
강도강간/강제추행,발생건수대비 검거건수[%],%,102.3,109.5,125,110.5,108.3,110,83.3,112.5,80,100,100
강도강간/강제추행,검거인원[명],명,39,17,18,21,17,12,8,11,5,5,2
